theta,N,alpha,beta,mean_value,sd_value,mean_stopping_time,sd_stopping_time,mean_stopping_fraction,sd_stopping_fraction,upper_bound_time,upper_bound_fraction,relative_gap,early_stop_prob,n_success
0.05,10000,0.01,0.9,0.9076346223855724,0.07748358921110476,6223.762,1309.1648094692684,0.6223762,0.13091648094692687,7215.798879170883,0.7215798879170883,0.13748122637321486,0.994,500
0.05,10000,0.01,0.95,0.9530882718449939,0.04320484833507726,6589.056,1236.765360923389,0.6589056000000001,0.1236765360923389,7942.403001984626,0.7942403001984626,0.17039515643394756,0.998,500
0.05,10000,0.01,0.99,0.9928717375047404,0.06160580273549243,7096.782,1072.6523110667658,0.7096781999999999,0.10726523110667655,9305.391496163364,0.9305391496163363,0.23734729453070075,0.994,500
0.05,10000,0.05,0.8,0.8052333272520407,0.04594291384760993,4499.96,1229.6463909977488,0.449996,0.12296463909977477,4972.9497210487725,0.4972949721048773,0.09511250818538766,0.996,500
0.05,10000,0.05,0.9,0.9015926426014036,0.0014622868115145044,5079.45,1123.516794478369,0.507945,0.11235167944783689,5852.8103849921445,0.5852810384992144,0.132134877797375,1.0,500
0.05,10000,0.05,0.95,0.9515083310139909,0.012673401096200783,5618.828,1170.5102266950062,0.5618828,0.1170510226695007,6579.414507805888,0.6579414507805889,0.14599878251571446,0.998,500
0.05,10000,0.05,0.99,0.9902595572099668,0.00022832260022602978,6149.348,1117.8935848416254,0.6149348,0.11178935848416258,7942.403001984626,0.7942403001984626,0.2257572426804057,1.0,500
0.05,50000,0.01,0.8,0.8009298848439024,0.0007930680028654415,13758.596,2431.59500932263,0.27517192,0.04863190018645264,14167.588550487406,0.2833517710097481,0.028868183814763228,1.0,500
0.05,50000,0.01,0.9,0.9005335132936289,0.0004626589661906153,15131.422,2317.5852283135114,0.30262844,0.04635170456627024,16135.016805792884,0.3227003361158577,0.06219979922379556,1.0,500
0.05,50000,0.01,0.95,0.9503288018611954,0.00026616080501210606,16309.258,2387.7394914844435,0.32618516,0.04775478982968886,17759.75301713602,0.3551950603427204,0.08167315253407349,1.0,500
0.05,50000,0.01,0.99,0.9900898218577939,7.769968713367975e-05,18694.582,2461.742232019798,0.37389163999999997,0.04923484464039597,20807.48794266975,0.41614975885339506,0.10154546038865339,1.0,500
0.05,50000,0.05,0.8,0.8008387052694075,0.0007407038246308664,10568.62,1956.1876771046573,0.2113724,0.039123753542093125,11119.853624953672,0.22239707249907342,0.04957202167811524,1.0,500
0.05,50000,0.05,0.9,0.9005333308934196,0.0004573816904715171,12244.23,2064.8020340894577,0.2448846,0.04129604068178916,13087.28188025915,0.261745637605183,0.0644176451590615,1.0,500
