theta,N,alpha,beta,seq_power,seq_stopping_time,std_power,std_stopping_time,seq_value_early_stop,seq_early_stop_prob,seq_stop_at_N_and_reject,power_diff,power_diff_up
0.05,5000,0.01,0.9,0.816,3943.584,0.896,5000.0,0.9040368212156399,0.896,0.002,0.08000000000000007,0.09999999999999998
0.05,5000,0.01,0.95,0.858,4033.558,0.902,5000.0,0.9529712343042575,0.898,0.004,0.04400000000000004,0.050000000000000044
0.05,5000,0.01,0.99,0.874,4294.302,0.898,5000.0,0.9907432074087048,0.886,0.008,0.02400000000000002,0.010000000000000009
0.05,5000,0.05,0.8,0.794,3007.922,0.986,5000.0,0.804095593279155,0.988,0.002,0.19199999999999995,0.19999999999999996
0.05,5000,0.05,0.9,0.884,3360.27,0.966,5000.0,0.902949596867131,0.966,0.0,0.08199999999999996,0.09999999999999998
0.05,5000,0.05,0.95,0.934,3562.932,0.968,5000.0,0.951907997858813,0.972,0.0,0.03399999999999992,0.050000000000000044
0.05,5000,0.05,0.99,0.962,3828.328,0.974,5000.0,0.99052318365766,0.97,0.0,0.01200000000000001,0.010000000000000009
0.05,10000,0.01,0.8,0.794,5713.338,0.998,10000.0,0.8025066545042501,0.998,0.0,0.20399999999999996,0.19999999999999996
0.05,10000,0.01,0.9,0.92,6223.762,0.994,10000.0,0.901805005898073,0.994,0.0,0.07399999999999995,0.09999999999999998
0.05,10000,0.01,0.95,0.962,6589.056,0.998,10000.0,0.9511572130593037,0.998,0.0,0.03600000000000003,0.050000000000000044
0.05,10000,0.01,0.99,0.98,7096.782,0.994,10000.0,0.9903198526737408,0.994,0.0,0.014000000000000012,0.010000000000000009
0.05,10000,0.05,0.8,0.808,4499.96,0.996,10000.0,0.8023333402171772,0.996,0.0,0.18799999999999994,0.19999999999999996
0.05,10000,0.05,0.9,0.9,5079.45,1.0,10000.0,0.9015926426014035,1.0,0.0,0.09999999999999998,0.09999999999999998
0.05,10000,0.05,0.95,0.95,5618.828,0.998,10000.0,0.9509427894601605,0.998,0.0,0.04800000000000004,0.050000000000000044
0.05,10000,0.05,0.99,0.988,6149.348,1.0,10000.0,0.990259557209967,1.0,0.0,0.01200000000000001,0.010000000000000009
0.05,50000,0.01,0.8,0.802,13758.596,1.0,50000.0,0.8009298848439023,1.0,0.0,0.19799999999999995,0.19999999999999996
0.05,50000,0.01,0.9,0.892,15131.422,1.0,50000.0,0.9005335132936289,1.0,0.0,0.10799999999999998,0.09999999999999998
0.05,50000,0.01,0.95,0.946,16309.258,1.0,50000.0,0.9503288018611954,1.0,0.0,0.05400000000000005,0.050000000000000044
0.05,50000,0.01,0.99,0.99,18694.582,1.0,50000.0,0.9900898218577939,1.0,0.0,0.010000000000000009,0.010000000000000009
0.05,50000,0.05,0.8,0.79,10568.62,1.0,50000.0,0.8008387052694075,1.0,0.0,0.20999999999999996,0.19999999999999996
0.05,50000,0.05,0.9,0.906,12244.23,1.0,50000.0,0.9005333308934196,1.0,0.0,0.09399999999999997,0.09999999999999998
0.05,50000,0.05,0.95,0.926,13835.676,1.0,50000.0,0.9503377327488962,1.0,0.0,0.07399999999999995,0.050000000000000044
0.05,50000,0.05,0.99,0.99,16057.706,1.0,50000.0,0.9900861923103905,1.0,0.0,0.010000000000000009,0.010000000000000009
0.1,1000,0.01,0.8,0.644,796.188,0.812,1000.0,0.8128255861245168,0.816,0.004,0.16800000000000004,0.19999999999999996
0.1,1000,0.01,0.9,0.732,836.744,0.778,1000.0,0.9098326653240149,0.772,0.014,0.04600000000000004,0.09999999999999998
0.1,1000,0.01,0.95,0.776,866.72,0.808,1000.0,0.9563940767267948,0.792,0.012,0.03200000000000003,0.050000000000000044
0.1,1000,0.01,0.99,0.792,899.114,0.806,1000.0,0.9917424473880623,0.782,0.018,0.014000000000000012,0.010000000000000009
0.1,1000,0.05,0.8,0.772,655.826,0.936,1000.0,0.8110796296116402,0.942,0.0,0.16400000000000003,0.19999999999999996
0.1,1000,0.05,0.9,0.848,720.272,0.926,1000.0,0.9074753395642372,0.924,0.002,0.07800000000000007,0.09999999999999998
0.1,1000,0.05,0.95,0.88,759.662,0.92,1000.0,0.9546773410897332,0.916,0.004,0.040000000000000036,0.050000000000000044
0.1,1000,0.05,0.99,0.924,806.574,0.936,1000.0,0.9914347413730868,0.926,0.008,0.01200000000000001,0.010000000000000009
0.1,5000,0.01,0.8,0.808,2117.802,1.0,5000.0,0.8030660931594245,1.0,0.0,0.19199999999999995,0.19999999999999996
0.1,5000,0.01,0.9,0.912,2311.65,1.0,5000.0,0.9020543258189161,1.0,0.0,0.08799999999999997,0.09999999999999998
0.1,5000,0.01,0.95,0.946,2489.518,1.0,5000.0,0.9513105627016084,1.0,0.0,0.05400000000000005,0.050000000000000044
0.1,5000,0.01,0.99,0.988,2733.424,1.0,5000.0,0.9903386809103937,1.0,0.0,0.01200000000000001,0.010000000000000009
0.1,5000,0.05,0.8,0.81,1664.298,1.0,5000.0,0.8028941938025421,1.0,0.0,0.18999999999999995,0.19999999999999996
0.1,5000,0.05,0.9,0.89,1878.884,1.0,5000.0,0.9019090229739561,1.0,0.0,0.10999999999999999,0.09999999999999998
0.1,5000,0.05,0.95,0.972,2051.324,1.0,5000.0,0.9510784015071284,1.0,0.0,0.028000000000000025,0.050000000000000044
0.1,5000,0.05,0.99,0.984,2355.324,1.0,5000.0,0.9903218072646246,1.0,0.0,0.016000000000000014,0.010000000000000009
0.1,10000,0.01,0.8,0.776,3031.744,1.0,10000.0,0.8019774043821534,1.0,0.0,0.22399999999999998,0.19999999999999996
0.1,10000,0.01,0.9,0.878,3355.462,1.0,10000.0,0.9012677253201503,1.0,0.0,0.122,0.09999999999999998
0.1,10000,0.01,0.95,0.942,3675.764,1.0,10000.0,0.9508043582105472,1.0,0.0,0.05800000000000005,0.050000000000000044
0.1,10000,0.01,0.99,0.984,4139.578,1.0,10000.0,0.9902198919518994,1.0,0.0,0.016000000000000014,0.010000000000000009
0.1,10000,0.05,0.8,0.8,2390.834,1.0,10000.0,0.8020444651825515,1.0,0.0,0.19999999999999996,0.19999999999999996
0.1,10000,0.05,0.9,0.892,2787.274,1.0,10000.0,0.9012656325969286,1.0,0.0,0.10799999999999998,0.09999999999999998
0.1,10000,0.05,0.95,0.948,3038.47,1.0,10000.0,0.9507734786233916,1.0,0.0,0.052000000000000046,0.050000000000000044
0.1,10000,0.05,0.99,0.984,3546.19,1.0,10000.0,0.9901983798670788,1.0,0.0,0.016000000000000014,0.010000000000000009
