theta,N,alpha,lambda,psi,mean_theta_hat,sd_theta_hat,mean_z_hat,sd_z_hat,mean_b_hat,sd_b_hat,power,sd_outer_power,mean_seq_stopping_time,mean_total_stopping_time,mean_total_stopping_fraction,early_stop_prob,n_outer_success,n_inner_success
0.1,1000,0.05,0.5,0.1,0.13555359371220874,0.08087153576644876,1.5878669889238,3.180728623797925,0.5960844408801129,0.4695610434804058,0.5492671394799055,0.41882388027117085,460.0643498817967,560.0643498817967,0.5600643498817967,0.9354137115839244,423,21150
0.1,1000,0.05,0.5,0.25,0.11020380396021458,0.055611182328957724,-0.27453478675471527,2.5984113697949884,0.39470424889828426,0.4746557977313814,0.36244725738396627,0.38743576479509,257.1923628691983,507.1923628691983,0.5071923628691982,0.9333755274261604,474,23700
0.1,1000,0.05,0.5,0.5,0.1043704966590439,0.04346220820266853,-3.1964366950625283,1.9730893796598197,0.09694124245878108,0.2904119644654311,0.1089516129032258,0.19107064026990347,44.828629032258064,544.828629032258,0.544828629032258,0.9672983870967742,496,24800
0.1,1000,0.05,0.5,0.75,0.09867030876825826,0.036385392480922214,-6.324982373246578,1.7263798037126776,0.00036937502081548705,0.0030476679562008247,0.05034068136272545,0.031285769381619394,1.0160320641282565,751.0160320641282,0.7510160320641281,1.0,499,24950
0.1,1000,0.05,0.5,0.9,0.09845188202691527,0.033797734340408433,-10.50549710676273,3.04186410319734,3.972708792516028e-05,0.0005303192449694752,0.05138276553106213,0.031076595739852966,1.0,901.0,0.901,1.0,499,24950
0.1,2000,0.05,0.5,0.1,0.1129503784925019,0.06384595178867176,2.547456430891798,3.376203685685102,0.702733596711184,0.4404794052742613,0.7033047210300429,0.43307977047025314,957.9170386266095,1157.9170386266094,0.5789585193133047,0.9960944206008584,466,23300
0.1,2000,0.05,0.5,0.25,0.09947815753367771,0.04285938379286075,1.1054375196087465,2.8330483437392413,0.6228303909081372,0.47411205770888676,0.6269076305220883,0.45097577585102583,721.4930522088353,1221.4930522088355,0.6107465261044177,0.9893574297188755,498,24900
0.1,2000,0.05,0.5,0.5,0.09989918727248326,0.031154649540542766,-2.1363319430730088,3.235035212615441,0.3136924602282154,0.4593157703648459,0.32472,0.4039485988849102,260.77351999999996,1260.77352,0.6303867599999998,0.9742799999999999,500,25000
0.1,2000,0.05,0.5,0.75,0.10064683059019425,0.02574033507411036,-8.330978490777413,1.8170536864512499,0.003952897371175391,0.06222587484158127,0.052480000000000006,0.05097299375340209,2.7648,1502.7648000000002,0.7513824,0.9986799999999999,500,25000
0.1,2000,0.05,0.5,0.9,0.10115998716459643,0.022786586800298412,-14.520417949741862,2.9002590109593016,1e-05,0.0,0.052399999999999995,0.031218410887755222,1.0,1801.0,0.9005,1.0,500,25000
0.1,5000,0.05,0.5,0.1,0.09868278789532313,0.04203677260897734,4.67871850886817,3.3261973954449497,0.8736431133702717,0.32233750113701864,0.8760965794768611,0.3168087705623251,2372.861327967807,2872.861327967807,0.5745722655935613,1.0,497,24850
0.1,5000,0.05,0.5,0.25,0.10127490282521451,0.027915526754481307,4.381389693006561,2.1654778836971094,0.9504175899869663,0.2120352034294024,0.95224,0.20423713672109703,2287.23592,3537.23592,0.707447184,1.0,500,25000
0.1,5000,0.05,0.5,0.5,0.10128530174414309,0.018529812730152122,2.893172884459872,2.4009999820612884,0.9215220518061872,0.2646395354362786,0.92476,0.2512440836699609,1611.11176,4111.11176,0.822222352,0.99936,500,25000
0.1,5000,0.05,0.5,0.75,0.1001117022841953,0.017176188648281552,-8.351251629666791,6.037089925560026,0.22440160322334504,0.4156871083084768,0.25804000000000005,0.38361867129995103,221.57435999999998,3971.57436,0.7943148720000001,0.99236,500,25000
